Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels
Round02-hive14-2024_06_20-h14b42.JPG,236157.0,421,MC,24856,951
Round02-hive14-2024_06_20-h14b42.JPG,236157.0,421,1sMC,8098,405
Round02-hive14-2024_06_20-h14b42.JPG,236157.0,421,2sMC,8842,414
Round02-hive14-2024_06_20-h14b42.JPG,236157.0,421,3sMC,11621,443
Round02-hive14-2024_06_20-h14b42.JPG,236157.0,421,2MdC,28303,823
Round02-hive14-2024_06_27-h14b21.JPG,207473.0,395,FWL,194979,2173
Round02-hive14-2024_06_27-h14b21.JPG,207473.0,395,MC,24232,869
Round02-hive14-2024_06_27-h14b21.JPG,207473.0,395,1sMC,7340,385
Round02-hive14-2024_06_27-h14b21.JPG,207473.0,395,2sMC,8712,415
Round02-hive14-2024_06_27-h14b21.JPG,207473.0,395,3sMC,10139,418
Round02-hive14-2024_06_27-h14b21.JPG,207473.0,395,2MdC,27452,816
Round02-hive14-2024_07_04-h14b02.JPG,187281.0,370,FWL,167613,2074
Round02-hive14-2024_07_04-h14b02.JPG,187281.0,370,MC,20463,839
Round02-hive14-2024_07_04-h14b02.JPG,187281.0,370,1sMC,6226,357
Round02-hive14-2024_07_04-h14b02.JPG,187281.0,370,2sMC,7346,368
Round02-hive14-2024_07_04-h14b02.JPG,187281.0,370,3sMC,9145,391
Round02-hive14-2024_07_04-h14b02.JPG,187281.0,370,2MdC,23191,746
Round02-hive14-2024_07_04-h14b22.JPG,265435.0,441,FWL,244210,2533
Round02-hive14-2024_07_04-h14b22.JPG,265435.0,441,MC,28345,987
Round02-hive14-2024_07_04-h14b22.JPG,265435.0,441,1sMC,9225,487
Round02-hive14-2024_07_04-h14b22.JPG,265435.0,441,2sMC,10996,464
Round02-hive14-2024_07_04-h14b22.JPG,265435.0,441,3sMC,13104,469
Round02-hive14-2024_07_04-h14b22.JPG,265435.0,441,2MdC,34451,910
Round02-hive14-2024_07_12-h14b39.JPG,302612.0,436,FWL,234170,2413
Round02-hive14-2024_07_12-h14b39.JPG,302612.0,436,MC,25562,925
Round02-hive14-2024_07_12-h14b39.JPG,302612.0,436,1sMC,8522,419
Round02-hive14-2024_07_12-h14b39.JPG,302612.0,436,2sMC,10199,454
Round02-hive14-2024_07_12-h14b39.JPG,302612.0,436,3sMC,11893,447
Round02-hive14-2024_07_12-h14b39.JPG,302612.0,436,2MdC,32015,886
Round02-hive15-2024_06_21-h15b11.JPG,293318.0,471,FWL,269999,2586
Round02-hive15-2024_06_21-h15b11.JPG,293318.0,471,MC,28080,954
Round02-hive15-2024_06_21-h15b11.JPG,293318.0,471,1sMC,10224,455
Round02-hive15-2024_06_21-h15b11.JPG,293318.0,471,2sMC,13038,511
Round02-hive15-2024_06_21-h15b11.JPG,293318.0,471,3sMC,14383,490
Round02-hive15-2024_06_21-h15b11.JPG,293318.0,471,2MdC,37767,966
Round02-hive15-2024_06_25-h15b11.JPG,334375.0,483,FWL,283896,2836
Round02-hive15-2024_06_25-h15b11.JPG,334375.0,483,MC,29536,1004
Round02-hive15-2024_06_25-h15b11.JPG,334375.0,483,1sMC,10240,461
Round02-hive15-2024_06_25-h15b11.JPG,334375.0,483,2sMC,13417,517
Round02-hive15-2024_06_25-h15b11.JPG,334375.0,483,3sMC,14655,493
