Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels,median_marker_length_in_pixels
Round01-Hive01-2024_06_11-h01b39.JPG,345411.0,464,2MdC,22698.0,719.0,"697,4283447"
Round01-Hive01-2024_06_11-h01b39.JPG,345411.0,464,FWL,162586.0,1945.0,"697,4283447"
Round01-Hive01-2024_06_11-h01b42.JPG,304657.5,485,MC,18740.0,758.0,"676,9899292"
Round01-Hive01-2024_06_11-h01b42.JPG,304657.5,485,1sMC,6893.0,371.0,"676,9899292"
Round01-Hive01-2024_06_11-h01b42.JPG,304657.5,485,2sMC,7588.0,379.0,"676,9899292"
Round01-Hive01-2024_06_11-h01b42.JPG,304657.5,485,3sMC,8588.0,376.0,"676,9899292"
Round01-Hive01-2024_06_11-h01b42.JPG,304657.5,485,2MdC,23502.0,741.0,"676,9899292"
Round01-Hive01-2024_06_11-h01b42.JPG,304657.5,485,FWL,169177.0,2160.0,"676,9899292"
Round01-Hive01-2024_06_11-h01b50.JPG,325089.0,444,MC,16593.0,703.0,"705,0646057"
Round01-Hive01-2024_06_11-h01b50.JPG,325089.0,444,1sMC,6099.0,349.0,"705,0646057"
Round01-Hive01-2024_06_11-h01b50.JPG,325089.0,444,2sMC,6852.0,358.0,"705,0646057"
Round01-Hive01-2024_06_11-h01b50.JPG,325089.0,444,3sMC,7192.0,342.0,"705,0646057"
Round01-Hive01-2024_06_11-h01b50.JPG,325089.0,444,2MdC,20077.0,670.0,"705,0646057"
Round01-Hive01-2024_06_11-h01b50.JPG,325089.0,444,FWL,147059.0,1855.0,"705,0646057"
Round01-Hive01-2024_06_19-h01b03.JPG,258898.0,458,MC,16893.0,706.0,"633,0962524"
Round01-Hive01-2024_06_19-h01b03.JPG,258898.0,458,1sMC,5738.0,339.0,"633,0962524"
Round01-Hive01-2024_06_19-h01b03.JPG,258898.0,458,2sMC,6412.0,348.0,"633,0962524"
Round01-Hive01-2024_06_19-h01b03.JPG,258898.0,458,3sMC,7412.0,350.0,"633,0962524"
Round01-Hive01-2024_06_19-h01b03.JPG,258898.0,458,2MdC,20784.0,685.0,"633,0962524"
Round01-Hive01-2024_06_19-h01b03.JPG,258898.0,458,FWL,146592.0,1871.0,"633,0962524"
Round01-Hive01-2024_06_19-h01b04.JPG,287239.5,421,MC,15895.0,671.0,"530,1936951"
Round01-Hive01-2024_06_19-h01b04.JPG,287239.5,421,1sMC,5575.0,337.0,"530,1936951"
Round01-Hive01-2024_06_19-h01b04.JPG,287239.5,421,2sMC,5627.0,328.0,"530,1936951"
Round01-Hive01-2024_06_19-h01b04.JPG,287239.5,421,3sMC,6470.0,329.0,"530,1936951"
Round01-Hive01-2024_06_19-h01b04.JPG,287239.5,421,2MdC,17876.0,638.0,"530,1936951"
Round01-Hive01-2024_06_19-h01b04.JPG,287239.5,421,FWL,130907.0,1766.0,"530,1936951"
Round01-Hive01-2024_06_19-h01b12.JPG,299320.5,425,MC,14578.0,678.0,"586,4882813"
Round01-Hive01-2024_06_19-h01b12.JPG,299320.5,425,1sMC,5321.0,329.0,"586,4882813"
Round01-Hive01-2024_06_19-h01b12.JPG,299320.5,425,2sMC,6286.0,342.0,"586,4882813"
Round01-Hive01-2024_06_19-h01b12.JPG,299320.5,425,3sMC,7060.0,343.0,"586,4882813"
Round01-Hive01-2024_06_19-h01b12.JPG,299320.5,425,2MdC,18255.0,645.0,"586,4882813"
Round01-Hive01-2024_06_19-h01b12.JPG,299320.5,425,FWL,134444.0,1834.0,"586,4882813"
Round01-Hive01-2024_06_19-h01b13.JPG,343898.5,461,MC,17172.0,731.0,"574,6204834"
Round01-Hive01-2024_06_19-h01b13.JPG,343898.5,461,1sMC,6466.0,362.0,"574,6204834"
Round01-Hive01-2024_06_19-h01b13.JPG,343898.5,461,2sMC,7355.0,373.0,"574,6204834"
Round01-Hive01-2024_06_19-h01b13.JPG,343898.5,461,3sMC,8170.0,371.0,"574,6204834"
Round01-Hive01-2024_06_19-h01b13.JPG,343898.5,461,2MdC,22131.0,719.0,"574,6204834"
Round01-Hive01-2024_06_19-h01b13.JPG,343898.5,461,FWL,161278.0,1974.0,"574,6204834"
Round01-Hive01-2024_06_19-h01b15.JPG,270104.0,420,MC,15315.0,672.0,"625,0385132"
